"KUNTZ, KAREN M","ZAUBER, ANN GRAHAM"
"SMITH, JAMES PATRICK","SCHWEINHART, LAWRENCE JOSEPH"
"SMITH, JAMES PATRICK","HECKMAN, JAMES J"
"SCHWEINHART, LAWRENCE JOSEPH","HECKMAN, JAMES J"
"MONAHAN, JENNIFER L","DICLEMENTE, RALPH J"
"THOM, ELIZABETH ANN","CLIFTON, REBECCA GERSNOVIEZ"
"PAUL, IAN M","BIRCH, LEANN L."
"UPRICHARD, SUSAN L.","PERELSON, ALAN S"
"CHEN, RUI","MARDON, GRAEME"
"CLARK, ANDREW G","BUSTAMANTE, CARLOS DANIEL"
"CLARK, ANDREW G","NIELSEN, RASMUS"
"BUSTAMANTE, CARLOS DANIEL","NIELSEN, RASMUS"
"MEEK, ERIN","MCFARLAND, WILLIAM"
"SUN, YUYU","PORTEOUS, NUALA"
"SUN, YUYU","PORTEOUS, NUALA"
"JUSTICE, AMY CAROLINE","FREIBERG, MATTHEW S"
"WEISS, SCOTT T","LITONJUA, AUGUSTO A"
"LIEBSCHUTZ, JANE M","ROSE-JACOBS, RUTH"
"LIEBSCHUTZ, JANE M","FRANK, DEBORAH A"
"ROSE-JACOBS, RUTH","FRANK, DEBORAH A"
"LABARBERA, DANIEL VINCENT","PETRASH, JONATHAN MARK"
"KANDEL, DENISE B","LEVINE, AMIR"
"KANDEL, DENISE B","KANDEL, ERIC R"
"LEVINE, AMIR","KANDEL, ERIC R"
"SULIK, KATHLEEN K","O'LEARY-MOORE, SHONAGH K"
"BRUZZANITI, ANGELA","KACENA, MELISSA A"
"LABARBERA, DANIEL VINCENT","PETRASH, JONATHAN MARK"
"MASON, CHRISTOPHER EDWARD","ROSS, MARGARET ELIZABETH"
"THOM, ELIZABETH ANN","CLIFTON, REBECCA GERSNOVIEZ"
"ZINK, JEFFREY I","STODDART, JAMES FRASER"
"ZINK, JEFFREY I","NEL, ANDRE ELIAS"
"ZINK, JEFFREY I","TAMANOI, FUYUHIKO"
"STODDART, JAMES FRASER","NEL, ANDRE ELIAS"
"STODDART, JAMES FRASER","TAMANOI, FUYUHIKO"
"NEL, ANDRE ELIAS","TAMANOI, FUYUHIKO"
"DIBAISE, JOHN K.","KRAJMALNIK-BROWN, ROSA"
"DIBAISE, JOHN K.","RITTMANN, BRUCE EDWARD"
